grammar,vodA,ruukA,brAt,led,sekIra,prodAavnica,uraadIse,solution
1,vo(dA),ruu(kA),(brAt),(led),se(kIra),pro(dAav)nica,uraa(dIse),hg_ot
2,vo(dA),(ruu)kA,(brAt),(led),se(kIra),pro(dAav)nica,uraa(dIse),hg_ot
3,(vodA),(ruu)kA,(brAt),(led),se(kIra),pro(dAav)nica,uraa(dIse),hg_ot
4,(vo)dA,(ruu)kA,(brAt),(led),se(kIra),pro(dAav)nica,uraa(dIse),hg_ot
5,(vOda),(ruu)kA,(brAt),(led),se(kIra),pro(dAav)nica,uraa(dIse),hg_ot
6,vo(dA),(rUu)ka,(brAt),(led),se(kIra),pro(dAav)nica,uraa(dIse),hg_ot
7,(vOda),(rUu)ka,(brAt),(led),se(kIra),pro(dAav)nica,uraa(dIse),hg_ot
8,vo(dA),ruu(kA),(brAt),(lEd),se(kIra),pro(dAav)nica,uraa(dIse),hg_ot
9,vo(dA),(ruu)kA,(brAt),(lEd),se(kIra),pro(dAav)nica,uraa(dIse),hg_ot
10,(vodA),(ruu)kA,(brAt),(lEd),se(kIra),pro(dAav)nica,uraa(dIse),hg_ot
11,(vo)dA,(ruu)kA,(brAt),(lEd),se(kIra),pro(dAav)nica,uraa(dIse),hg_ot
12,(vOda),(ruu)kA,(brAt),(lEd),se(kIra),pro(dAav)nica,uraa(dIse),hg_ot
13,vo(dA),(rUu)ka,(brAt),(lEd),se(kIra),pro(dAav)nica,uraa(dIse),hg_ot
14,(vOda),(rUu)ka,(brAt),(lEd),se(kIra),pro(dAav)nica,uraa(dIse),hg_ot
15,vo(dA),ruu(kA),(brAat),(leed),se(kIra),pro(dAav)nica,uraa(dIse),hg_ot
16,(vodA),(ruu)kA,(brAat),(leed),se(kIra),pro(dAav)nica,uraa(dIse),hg_ot
17,(vOda),(ruu)kA,(brAat),(leed),se(kIra),pro(dAav)nica,uraa(dIse),hg_ot
18,(voo)dA,(ruu)kA,(brAat),(leed),se(kIra),pro(dAav)nica,uraa(dIse),hg_ot
19,vo(dA),(rUu)ka,(brAat),(leed),se(kIra),pro(dAav)nica,uraa(dIse),hg_ot
20,(vOda),(rUu)ka,(brAat),(leed),se(kIra),pro(dAav)nica,uraa(dIse),hg_ot
21,vo(dA),ruu(kA),(brAat),(lEed),se(kIra),pro(dAav)nica,uraa(dIse),hg_ot
22,(vodA),(ruu)kA,(brAat),(lEed),se(kIra),pro(dAav)nica,uraa(dIse),hg_ot
23,(vOda),(ruu)kA,(brAat),(lEed),se(kIra),pro(dAav)nica,uraa(dIse),hg_ot
24,(voo)dA,(ruu)kA,(brAat),(lEed),se(kIra),pro(dAav)nica,uraa(dIse),hg_ot
25,vo(dA),(rUu)ka,(brAat),(lEed),se(kIra),pro(dAav)nica,uraa(dIse),hg_ot
26,(vOda),(rUu)ka,(brAat),(lEed),se(kIra),pro(dAav)nica,uraa(dIse),hg_ot
27,vo(dA),(ruu)kA,(brAt),(led),se(kIra),pro(dAav)nica,u(raa)dIse,hg_ot
28,(vodA),(ruu)kA,(brAt),(led),se(kIra),pro(dAav)nica,u(raa)dIse,hg_ot
29,(vo)dA,(ruu)kA,(brAt),(led),se(kIra),pro(dAav)nica,u(raa)dIse,hg_ot
30,(vOda),(ruu)kA,(brAt),(led),se(kIra),pro(dAav)nica,u(raa)dIse,hg_ot
31,vo(dA),(rUu)ka,(brAt),(led),se(kIra),pro(dAav)nica,u(raa)dIse,hg_ot
32,(vOda),(rUu)ka,(brAt),(led),se(kIra),pro(dAav)nica,u(raa)dIse,hg_ot
33,vo(dA),(ruu)kA,(brAt),(lEd),se(kIra),pro(dAav)nica,u(raa)dIse,hg_ot
34,(vodA),(ruu)kA,(brAt),(lEd),se(kIra),pro(dAav)nica,u(raa)dIse,hg_ot
35,(vo)dA,(ruu)kA,(brAt),(lEd),se(kIra),pro(dAav)nica,u(raa)dIse,hg_ot
36,(vOda),(ruu)kA,(brAt),(lEd),se(kIra),pro(dAav)nica,u(raa)dIse,hg_ot
37,vo(dA),(rUu)ka,(brAt),(lEd),se(kIra),pro(dAav)nica,u(raa)dIse,hg_ot
38,(vOda),(rUu)ka,(brAt),(lEd),se(kIra),pro(dAav)nica,u(raa)dIse,hg_ot
39,vo(dA),(ruu)kA,(brAat),(leed),se(kIra),pro(dAav)nica,u(raa)dIse,hg_ot
40,(vodA),(ruu)kA,(brAat),(leed),se(kIra),pro(dAav)nica,u(raa)dIse,hg_ot
41,(vOda),(ruu)kA,(brAat),(leed),se(kIra),pro(dAav)nica,u(raa)dIse,hg_ot
42,(voo)dA,(ruu)kA,(brAat),(leed),se(kIra),pro(dAav)nica,u(raa)dIse,hg_ot
43,vo(dA),(rUu)ka,(brAat),(leed),se(kIra),pro(dAav)nica,u(raa)dIse,hg_ot
44,(vOda),(rUu)ka,(brAat),(leed),se(kIra),pro(dAav)nica,u(raa)dIse,hg_ot
45,vo(dA),(ruu)kA,(brAat),(lEed),se(kIra),pro(dAav)nica,u(raa)dIse,hg_ot
46,(vodA),(ruu)kA,(brAat),(lEed),se(kIra),pro(dAav)nica,u(raa)dIse,hg_ot
47,(vOda),(ruu)kA,(brAat),(lEed),se(kIra),pro(dAav)nica,u(raa)dIse,hg_ot
48,(voo)dA,(ruu)kA,(brAat),(lEed),se(kIra),pro(dAav)nica,u(raa)dIse,hg_ot
49,vo(dA),(rUu)ka,(brAat),(lEed),se(kIra),pro(dAav)nica,u(raa)dIse,hg_ot
50,(vOda),(rUu)ka,(brAat),(lEed),se(kIra),pro(dAav)nica,u(raa)dIse,hg_ot
51,vo(dA),(ruu)kA,(brAat),(leed),se(kIra),pro(dAav)nica,uraa(dIse),hg
52,vo(dA),(ruu)kA,(brAat),(lEed),se(kIra),pro(dAav)nica,uraa(dIse),hg